取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4417,グローバルセキュリティエキスパ,東G,"4,620",+240.0 (+5.48%) ,15.8,46.74,39.8,0.00,42.25,44.19,(連),0.75,140.10,0.79,10.71,-3.12,26.12
2026-08-20,4418,ＪＤＳＣ,東G,"1,082",+53.0 (+5.15%) ,,,,,,,,,41.20,-1.16,0.00,18.18,2.03
2026-08-20,4419,ＦｉｎａｔｅｘｔＨＬＤＧ,東G,"1,369",+45.0 (+3.40%) ,6.55,46.58,15.5,7.95,97.45,45.16,(連),0.00,43.10,0.68,-0.81,18.82,41.92
2026-08-20,441A,ＮＥ,東G,284,0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,4420,イーソル,東S,703,+25.0 (+3.69%) ,2.34,22.55,11.0,0.00,-25.80,72.09,(連),0.78,,,,,
2026-08-20,4421,ディ・アイ・システム,東S,937,+2.0 (+0.21%) ,,,,,,,,,,,,,
2026-08-20,4422,ＶＡＬＵＥＮＥＸ,東G,576,+18.0 (+3.23%) ,,,,,,,,,,,,,
2026-08-20,4424,Ａｍａｚｉａ,東G,354,-6.0 (-1.67%) ,,,,,,,,,,,,,
2026-08-20,4425,Ｋｕｄａｎ,東G,"1,596",+91.0 (+6.05%) ,,,,,,,,,,,,,
2026-08-20,4426,パスロジ,東PRO,--,-- (--%) ,0.67,9.70,6.5,0.00,-215.79,63.76,(単),4.91,,,,,
2026-08-20,4427,ＥｄｕＬａｂ,東G,208,+4.0 (+1.96%) ,1.57,129.19,1.2,0.00,191.46,37.53,(連),0.00,,,,,
2026-08-20,4428,シノプス,東G,705,+25.0 (+3.68%) ,2.32,20.26,11.9,0.00,101.95,77.85,(単),2.27,,,,,
2026-08-20,4429,リックソフト,東G,719,+7.0 (+0.98%) ,0.98,12.25,8.3,0.00,-22.56,34.42,(連),0.00,,,,,
2026-08-20,442A,クラシコ,東G,985,+4.0 (+0.41%) ,,,,,,,,,,,,,
2026-08-20,4430,東海ソフト,東S,"1,676",+24.0 (+1.45%) ,,,,,,,,,,,,,
2026-08-20,4431,スマレジ,東G,"3,415",+185.0 (+5.73%) ,6.84,29.51,25.8,0.00,35.11,68.26,(連),0.70,129.25,2.26,4.23,-2.63,19.68
